Age.Ma,q,unb,ext.oth.b
536.5,NA,NA,NA
527,0.257829109,NA,0.257829109
518,1.098612289,3.401197382,0.741937345
507,0.973449146,2.251291799,0.861769893
494.65,1.427967058,0.693147181,1.462834438
483.45,0.798507696,0.336472237,0.829906118
475.2,0.43762222,0.451985124,0.435318071
466.35,0.32805704,0.494696242,0.298178737
454.95,0.436187007,0.361979996,0.457505986
446.35,0.639682333,0.577805297,0.677061043
439.85,0.0893451,0.135226787,0.055741983
432.1,0.09265883,0.095635966,0.090201955
425.55,0.199946635,0.255151732,0.150350802
419.45,0.436794958,0.437075369,0.43650973
413.6,0.197946875,0.172795288,0.225134923
409.1,0.152959494,0.179302361,0.121446653
402.25,0.256027968,0.271552691,0.236731596
394.65,0.24549085,0.259137154,0.229259778
388.55,0.443322561,0.515211596,0.359819601
379.9,0.311855609,0.441505045,0.184303718
367.6,0.276946257,0.376137493,0.193371393
353,0.178601776,0.215463865,0.147014743
338.65,0.230884474,0.282302823,0.181670303
325.05,0.30692844,0.429856561,0.191891008
314.9,0.05905775,0.074414486,0.046675139
309.1,0.091379559,0.125416661,0.064330858
302.75,0.112940411,0.143642702,0.087555891
296.8,0.040757992,0.050483905,0.031155168
289.5,0.053905265,0.064538521,0.042819997
280,0.097219358,0.116821959,0.075450555
273.1,0.102721808,0.109112865,0.094745368
268.2,0.279739219,0.302029521,0.252091127
263.1,0.238263672,0.310914374,0.133531393
257.1,0.244598486,0.314673008,0.158433342
252.4,0.594475653,0.860201265,0.361184534
250.35,0.135254046,0.199001246,0.094807793
247.35,0.12496236,0.036367644,0.173271721
241,0.071348081,0.045670037,0.084557388
232.5,0.102768925,0.112879348,0.0966763
222.25,0.221682631,0.266764174,0.192765516
210.05,0.274436846,0.345646613,0.23302366
201.6,0.329839935,0.593774707,0.201324504
198.05,0.034066555,0.03509132,0.033673215
193.05,0.047219072,0.021819047,0.057854793
186.3,0.176992271,0.307226669,0.126971462
179.3,0.059305914,0.049480057,0.063121086
173.6,0.056123324,0.02684725,0.066939483
169.65,0.028370697,0.024845999,0.029778875
166.2,0.041672696,0.05487661,0.03605905
162.95,0.109826055,0.091567194,0.117783036
158.45,0.116379527,0.14403937,0.104360015
153.25,0.121972401,0.084765267,0.139599089
148.15,0.144505215,0.159894521,0.136950199
142.85,0.042819997,0.018349139,0.055059777
138.3,0.128775336,0.151862349,0.117350603
133.2,0.07741261,0.068467799,0.08140085
127.5,0.085541437,0.063178902,0.096100381
118.5,0.145085365,0.171653115,0.132438138
105.8,0.179648269,0.202782629,0.169797571
96.55,0.127876335,0.127213024,0.128130504
91.4,0.070910925,0.066445099,0.072476729
86.4,0.080727248,0.113328685,0.069780997
77.05,0.11613965,0.145851877,0.106653341
68.05,0.406277786,0.191250188,0.476057296
63.6,0.138572174,0.136859183,0.13919713
58.75,0.057377113,0.060624622,0.056280836
52.2,0.048253118,0.05092009,0.047444088
44.5,0.062169024,0.053109825,0.064599854
38.8,0.063889682,0.023932766,0.074512203
35.55,0.115020256,0.112840999,0.11563573
31.15,0.054067221,0.109433841,0.038874153
25.7,0.033836615,0.028710106,0.035119331
19.5,0.07433762,0.096198148,0.068886028
13.8,0.135260998,0.13630532,0.13502886
8.45,0.127181238,0.103751505,0.132286837
3.55,0.415142603,0.437213806,0.410369483
0.905,Inf,Inf,Inf
