"col","age","period","abbv","epoch","scaleP","scaleE","q","p"
"Colonial",537,"Cambrian","Cm","Lower Cambrian","light","light",NA,NA
"Colonial",526,"Cambrian","Cm","Lower Cambrian","light","light",NA,NA
"Colonial",519,"Cambrian","Cm","Lower Cambrian","light","light",NA,NA
"Colonial",515.5,"Cambrian","Cm","Lower Cambrian","light","light",NA,NA
"Colonial",507,"Cambrian","Cm","Middle Cambrian","light","dark",NA,NA
"Colonial",494.65,"Cambrian","Cm","Upper Cambrian","light","light",NA,NA
"Colonial",483.45,"Ordovician","O","Early Ordovician","dark","dark",NA,NA
"Colonial",475.2,"Ordovician","O","Early Ordovician","dark","dark",NA,NA
"Colonial",469.95,"Ordovician","O","Middle Ordovician","dark","light",NA,NA
"Colonial",464.5,"Ordovician","O","Middle Ordovician","dark","light",NA,NA
"Colonial",455.45,"Ordovician","O","Middle Ordovician","dark","light",NA,NA
"Colonial",447.8,"Ordovician","O","Late Ordovician","dark","dark",NA,NA
"Colonial",444.65,"Ordovician","O","Late Ordovician","dark","dark",NA,NA
"Colonial",439.85,"Silurian","S","Llandovery","light","light",NA,NA
"Colonial",432.1,"Silurian","S","Llandovery","light","light",NA,NA
"Colonial",425.55,"Silurian","S","Wenlockian","light","dark",NA,NA
"Colonial",420.8,"Silurian","S","Ludlovian","light","light",NA,NA
"Colonial",417.35,"Silurian","S","Pridolian","light","dark",NA,NA
"Colonial",413.6,"Devonian","D","Early Devonian","dark","light",NA,NA
"Colonial",409.1,"Devonian","D","Early Devonian","dark","light",NA,NA
"Colonial",402.25,"Devonian","D","Early Devonian","dark","light",NA,NA
"Colonial",394.65,"Devonian","D","Middle Devonian","dark","dark",NA,NA
"Colonial",388.55,"Devonian","D","Middle Devonian","dark","dark",NA,NA
"Colonial",379.9,"Devonian","D","Late Devonian","dark","light",NA,NA
"Colonial",367.6,"Devonian","D","Late Devonian","dark","light",NA,NA
"Colonial",353,"Carboniferous","C","Early Mississippian","light","dark",NA,NA
"Colonial",335.85,"Carboniferous","C","Middle Mississippian","light","dark",NA,NA
"Colonial",322.25,"Carboniferous","C","Late Mississippian","light","light",NA,NA
"Colonial",314.9,"Carboniferous","C","Early Pennsylvanian","light","dark",NA,NA
"Colonial",309.1,"Carboniferous","C","Middle Pennsylvanian","light","light",NA,NA
"Colonial",305.2,"Carboniferous","C","Late Pennsylvanian","light","dark",NA,NA
"Colonial",301.45,"Carboniferous","C","Late Pennsylvanian","light","dark",NA,NA
"Colonial",296.8,"Permian","P","Cisuralian","dark","light",NA,NA
"Colonial",289.5,"Permian","P","Cisuralian","dark","light",NA,NA
"Colonial",280,"Permian","P","Cisuralian","dark","light",NA,NA
"Colonial",273.1,"Permian","P","Cisuralian","dark","light",NA,NA
"Colonial",268.2,"Permian","P","Guadalupian","dark","dark",NA,NA
"Colonial",263.1,"Permian","P","Guadalupian","dark","dark",NA,NA
